image_id,chapter,section,subsection,paragraph_index,source_target,extracted_name,caption,selected_for_wiki,notes
001,光路传输系统,1.1加速器概览,,33,media/image1.png,FieldManual-20250723-1-1加速器概览-001.png,图 1-1,review-needed,
002,光路传输系统,1.1加速器概览,,34,media/image2.png,FieldManual-20250723-1-1加速器概览-002.png,图 1-2,review-needed,
003,光路传输系统,1.2 靶区实验传输光路,,40,media/image3.png,FieldManual-20250723-1-2-靶区实验传输光路-003.png,图 1-3,selected,靶区传输光路总图
004,光路传输系统,1.3 模拟光系统,1.3.1 模拟光的启动与光强调节,59,media/image4.png,FieldManual-20250723-1-3-模拟光系统-004.png,表 1-1 常用的模拟光强度,review-needed,
005,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,92,media/image5.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-005.jpeg,表 1-2 不同工作模式重要镜子的到位情况,review-needed,
006,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,122,media/image6.png,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-006.png,,review-needed,
007,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,140,media/image7.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-007.jpeg,,review-needed,
008,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,140,media/image8.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-008.jpeg,,review-needed,
009,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,143,media/image9.png,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-009.png,,review-needed,
010,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,149,media/image10.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-010.jpeg,,review-needed,
011,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,149,media/image11.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-011.jpeg,,review-needed,
012,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,159,media/image12.png,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-012.png,,review-needed,
013,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,162,media/image13.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-013.jpeg,,review-needed,
014,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,165,media/image14.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-014.jpeg,,review-needed,
015,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,176,media/image15.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-015.jpeg,,review-needed,
016,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,179,media/image16.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-016.jpeg,,review-needed,
017,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,184,media/image16.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-017.jpeg,,review-needed,
018,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,188,media/image17.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-018.jpeg,,review-needed,
019,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,191,media/image16.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-019.jpeg,,review-needed,
020,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,194,media/image16.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-020.jpeg,,review-needed,
021,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,197,media/image16.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-021.jpeg,,review-needed,
022,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,216,media/image18.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-022.jpeg,,review-needed,
023,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,216,media/image19.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-023.jpeg,,review-needed,
024,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,226,media/image20.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-024.jpeg,,review-needed,
025,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,228,media/image21.jpeg,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-025.jpeg,,review-needed,
026,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,233,media/image22.png,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-026.png,,review-needed,
027,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,243,media/image23.png,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-027.png,,review-needed,
028,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,249,media/image24.png,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-028.png,,review-needed,
029,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,254,media/image25.png,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-029.png,,review-needed,
030,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,258,media/image26.png,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-030.png,,review-needed,
031,光路传输系统,1.4 大型反射镜控制（安全逻辑不完整）,,261,media/image27.png,FieldManual-20250723-1-4-大型反射镜控制-安全逻辑不完整-031.png,,review-needed,
032,打靶实验布局与机械控制,2.1打靶实验布局,,276,media/image28.png,FieldManual-20250723-2-1打靶实验布局-032.png,,selected,验证腔打靶布局总览
033,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,285,media/image29.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-033.png,,selected,靶架与靶后位结构图
034,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,287,media/image30.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-034.png,,selected,靶后与 OAP 控制界面
035,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,293,media/image31.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-035.png,,review-needed,
036,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,297,media/image32.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-036.png,,review-needed,
037,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,309,media/image33.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-037.png,,review-needed,
038,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,315,media/image34.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-038.png,,review-needed,
039,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,326,media/image35.jpeg,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-039.jpeg,,review-needed,
040,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,331,media/image36.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-040.png,,review-needed,
041,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,335,media/image37.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-041.png,,review-needed,
042,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,337,media/image38.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-042.png,,review-needed,
043,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,337,media/image39.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-043.png,,review-needed,
044,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,343,media/image40.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-044.png,,selected,RCF 运动系统实物图
045,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,352,media/image41.jpeg,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-045.jpeg,,review-needed,
046,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,363,media/image42.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-046.png,,review-needed,
047,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,370,media/image43.jpeg,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-047.jpeg,,review-needed,
048,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,376,media/image44.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-048.png,,review-needed,
049,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,382,media/image45.jpeg,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-049.jpeg,,selected,防溅射膜系统位置图
050,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,387,media/image46.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-050.png,,selected,防溅射膜控制界面
051,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,390,media/image47.jpeg,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-051.jpeg,,review-needed,
052,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,393,media/image48.jpeg,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-052.jpeg,,review-needed,
053,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,401,media/image49.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-053.png,,selected,判靶系统控制界面
054,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,408,media/image50.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-054.png,,review-needed,
055,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,408,media/image51.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-055.png,,review-needed,
056,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,415,media/image52.jpeg,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-056.jpeg,,review-needed,
057,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,420,media/image53.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-057.png,,review-needed,
058,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,422,media/image54.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-058.png,,review-needed,
059,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,426,media/image55.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-059.png,,review-needed,
060,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,432,media/image56.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-060.png,,review-needed,
061,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,436,media/image57.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-061.png,,review-needed,
062,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,441,media/image58.jpeg,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-062.jpeg,,review-needed,
063,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,446,media/image59.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-063.png,,review-needed,
064,打靶实验布局与机械控制,2.2靶架系统与自动找靶（浩然补充完整）,,450,media/image60.png,FieldManual-20250723-2-2靶架系统与自动找靶-浩然补充完整-064.png,,selected,VMS 监控界面
065,数据探测与采集模块,3.1 TPS离子在线谱仪,,460,media/image61.png,FieldManual-20250723-3-1-tps离子在线谱仪-065.png,,review-needed,
066,数据探测与采集模块,3.1 TPS离子在线谱仪,,463,media/image62.jpeg,FieldManual-20250723-3-1-tps离子在线谱仪-066.jpeg,,review-needed,
067,数据探测与采集模块,3.1 TPS离子在线谱仪,,466,media/image63.jpeg,FieldManual-20250723-3-1-tps离子在线谱仪-067.jpeg,,review-needed,
068,数据探测与采集模块,3.1 TPS离子在线谱仪,,468,media/image64.jpeg,FieldManual-20250723-3-1-tps离子在线谱仪-068.jpeg,,review-needed,
069,数据探测与采集模块,3.1 TPS离子在线谱仪,,471,media/image65.jpeg,FieldManual-20250723-3-1-tps离子在线谱仪-069.jpeg,,review-needed,
070,数据探测与采集模块,3.1 TPS离子在线谱仪,,474,media/image66.jpeg,FieldManual-20250723-3-1-tps离子在线谱仪-070.jpeg,,review-needed,
071,数据探测与采集模块,3.1 TPS离子在线谱仪,,477,media/image67.jpeg,FieldManual-20250723-3-1-tps离子在线谱仪-071.jpeg,,review-needed,
072,数据探测与采集模块,3.1 TPS离子在线谱仪,,481,media/image68.png,FieldManual-20250723-3-1-tps离子在线谱仪-072.png,,review-needed,
073,数据探测与采集模块,3.1 TPS离子在线谱仪,,484,media/image69.png,FieldManual-20250723-3-1-tps离子在线谱仪-073.png,,selected,TPS 在线解谱主界面
074,数据探测与采集模块,3.1 TPS离子在线谱仪,,487,media/image70.png,FieldManual-20250723-3-1-tps离子在线谱仪-074.png,,review-needed,
075,数据探测与采集模块,3.1 TPS离子在线谱仪,,497,media/image71.png,FieldManual-20250723-3-1-tps离子在线谱仪-075.png,,review-needed,
076,数据探测与采集模块,3.1 TPS离子在线谱仪,,502,media/image72.png,FieldManual-20250723-3-1-tps离子在线谱仪-076.png,,review-needed,
077,数据探测与采集模块,3.1 TPS离子在线谱仪,,505,media/image73.png,FieldManual-20250723-3-1-tps离子在线谱仪-077.png,,review-needed,
078,数据探测与采集模块,3.1 TPS离子在线谱仪,,510,media/image74.png,FieldManual-20250723-3-1-tps离子在线谱仪-078.png,,review-needed,
079,数据探测与采集模块,3.1 TPS离子在线谱仪,,513,media/image75.png,FieldManual-20250723-3-1-tps离子在线谱仪-079.png,,review-needed,
080,数据探测与采集模块,3.1 TPS离子在线谱仪,,519,media/image76.png,FieldManual-20250723-3-1-tps离子在线谱仪-080.png,,review-needed,
081,数据探测与采集模块,3.1 TPS离子在线谱仪,,525,media/image77.png,FieldManual-20250723-3-1-tps离子在线谱仪-081.png,,review-needed,
082,数据探测与采集模块,3.1 TPS离子在线谱仪,,529,media/image78.png,FieldManual-20250723-3-1-tps离子在线谱仪-082.png,,review-needed,
083,数据探测与采集模块,3.1 TPS离子在线谱仪,,531,media/image79.png,FieldManual-20250723-3-1-tps离子在线谱仪-083.png,,review-needed,
084,数据探测与采集模块,3.4 激光时空诊断平台,,542,media/image80.png,FieldManual-20250723-3-4-激光时空诊断平台-084.png,,review-needed,
085,数据探测与采集模块,3.4 激光时空诊断平台,,546,media/image81.jpeg,FieldManual-20250723-3-4-激光时空诊断平台-085.jpeg,,review-needed,
086,数据探测与采集模块,3.4 激光时空诊断平台,,549,media/image82.png,FieldManual-20250723-3-4-激光时空诊断平台-086.png,,review-needed,
087,数据探测与采集模块,3.4 激光时空诊断平台,,557,media/image83.jpeg,FieldManual-20250723-3-4-激光时空诊断平台-087.jpeg,,review-needed,
088,工作模式与作业流程,4.1 远近场同轴,,567,media/image84.png,FieldManual-20250723-4-1-远近场同轴-088.png,,selected,远近场同轴示意与实物图
089,工作模式与作业流程,4.2 波前矫正与验证腔聚焦,,591,media/image85.png,FieldManual-20250723-4-2-波前矫正与验证腔聚焦-089.png,,selected,波前矫正与聚焦界面
090,工作模式与作业流程,4.4 放光模式选择与操作,,646,media/image86.png,FieldManual-20250723-4-4-放光模式选择与操作-090.png,,selected,调光模式控制界面
091,工作模式与作业流程,4.4 放光模式选择与操作,,651,media/image87.png,FieldManual-20250723-4-4-放光模式选择与操作-091.png,,review-needed,
092,工作模式与作业流程,4.4 放光模式选择与操作,,652,media/image88.png,FieldManual-20250723-4-4-放光模式选择与操作-092.png,,review-needed,
093,工作模式与作业流程,4.4 放光模式选择与操作,,654,media/image89.png,FieldManual-20250723-4-4-放光模式选择与操作-093.png,,review-needed,
094,工作模式与作业流程,4.4 放光模式选择与操作,,669,media/image90.jpeg,FieldManual-20250723-4-4-放光模式选择与操作-094.jpeg,,review-needed,
095,其他事项,6.5 靶场光路,,747,media/image91.png,FieldManual-20250723-6-5-靶场光路-095.png,,review-needed,
096,其他事项,6.6 安全高效打靶三步走,,749,media/image92.png,FieldManual-20250723-6-6-安全高效打靶三步走-096.png,,selected,三步走速查图
097,其他事项,6.7 10分钟全要素检查清单,,751,media/image93.png,FieldManual-20250723-6-7-10分钟全要素检查清单-097.png,,selected,十分钟检查清单
098,其他事项,6.8 应触发 应衰减 应关闭设备一览,,753,media/image94.png,FieldManual-20250723-6-8-应触发-应衰减-应关闭设备一览-098.png,,selected,设备状态一览图
099,其他事项,6.9 真空主激光导光流程简表,,755,media/image95.png,FieldManual-20250723-6-9-真空主激光导光流程简表-099.png,,selected,真空主激光导光流程图
